,alphabet,x,y
736,eye,139.701918,35.739824
737,eye,139.704095,35.569934
738,eye,139.806494,35.790538
739,eye,139.755599,35.719487
740,eye,139.720619,35.780738
741,eye,139.846836,35.725416
742,eye,139.785494,35.699627
743,eye,139.709124,35.738348
744,eye,139.731939,35.579466
745,eye,139.737231,35.610093
746,eye,139.660316,35.721670
747,eye,139.670468,35.692659
748,eye,139.711084,35.605182
749,eye,139.869518,35.716137
750,eye,139.716730,35.613142
751,eye,139.841665,35.703496
752,eye,139.712248,35.689556
753,eye,139.724021,35.680650
754,eye,139.600722,35.663370
755,eye,139.731991,35.733016
756,eye,139.713570,35.645034
757,eye,139.681938,35.611092
758,eye,139.746321,35.604821
759,eye,139.875244,35.753565
760,eye,139.713041,35.708898
761,eye,139.661438,35.737191
762,eye,139.689234,35.756394
763,eye,139.715675,35.636363
764,eye,139.671359,35.589326
765,eye,139.739059,35.643982
766,eye,139.635256,35.654361
767,eye,139.725116,35.589121
768,eye,139.651413,35.658529
769,eye,139.682526,35.606735
770,eye,139.679955,35.653642
771,eye,139.679955,35.653642
772,eye,139.679955,35.653642
773,eye,139.690092,35.620583
774,eye,139.741212,35.649890
775,eye,139.635940,35.740012
776,eye,139.634493,35.668107
777,eye,139.599893,35.699753
778,eye,139.692666,35.607010
779,eye,139.651413,35.658529
780,ID,139.789481,35.685222
781,ID,139.866369,35.674487
782,ID,139.713849,35.611023
783,ID,139.750564,35.699206
784,ID,139.671271,35.683659
785,ID,139.700039,35.681885
786,ID,139.636717,35.605583
787,ID,139.665529,35.734072
788,ID,139.677849,35.574012
789,ID,139.701579,35.786239
790,ID,139.652598,35.748396
791,ID,139.869448,35.706632
792,ID,139.869448,35.706632
793,ID,139.700288,35.557006
794,ID,139.660577,35.727584
795,ID,139.619124,35.654609
796,ID,139.660577,35.727584
797,ID,139.613739,35.656649
798,ID,139.613739,35.656649
799,ID,139.613739,35.656649
800,ID,139.710776,35.699527
801,ID,139.704060,35.741459
802,ID,139.704060,35.741459
803,ID,139.681637,35.688983
804,ID,139.681637,35.688983
805,ID,139.754090,35.752174
806,ID,139.783245,35.705915
807,ID,139.764215,35.813485
808,ID,139.726729,35.703200
809,isle,139.811252,35.724803
810,isle,139.801354,35.666227
811,isle,139.823040,35.720012
812,isle,139.705288,35.596698
813,isle,139.669502,35.738519
814,isle,139.692666,35.607010
815,isle,139.826821,35.715568
816,isle,139.733060,35.562323
817,isle,139.829793,35.727513
818,isle,139.651093,35.674144
819,isle,139.813857,35.720983
820,isle,139.750394,35.549095
821,isle,139.832888,35.775863
822,isle,139.728000,35.546645
823,isle,139.747945,35.728732
824,isle,139.822377,35.691697
